,singer,genre,content,likes,sentiment,release_filled,release_rank,year,scaled_likes,feature
19060,적재,"인디음악, 록/메탈",The Door,13706,stress,2014-11-10,0.3155738588585351,2014,0.04132059487668036,0.3568944537352155
19061,정아로,"발라드, 인디음악",암적응,700,stress,2020-11-26,0.8455119774035664,2020,0.0016409660132496284,0.847152943416816
19062,윤종신,록/메탈,지친 하루,83168,stress,2014-12-20,0.32335755406541755,2014,0.2507333455934447,0.5740908996588623
19063,사비나앤드론즈,"인디음악, 록/메탈",Don't Break Your Heart,17545,stress,2016-05-06,0.3936695487181699,2016,0.06163168525511548,0.45530123397328537
19064,Beer,"재즈, 애시드/퓨전/팝",끝맺음,566,stress,2021-02-26,0.875568684102719,2021,0.0018541692601012913,0.8774228533628203
19065,오두식,"인디음악, 포크/블루스",우리 집으로 가자,119,stress,2021-02-25,0.8747062248000174,2021,0.0003898341730601655,0.8750960589730775
19066,최유리,"인디음악, 포크/블루스",동그라미,16538,stress,2020-02-24,0.7487440436404408,2020,0.038768994181603365,0.7875130378220442
19067,종현 (JONGHYUN),발라드,하루의 끝 (End of a day),139217,stress,2015-09-17,0.3497703702106557,2015,0.5465405694006061,0.8963109396112618
19068,Sondia,"발라드, 국내드라마",어른,152856,stress,2018-03-29,0.5444058733478515,2018,0.40213728167446705,0.9465431550223186
19069,토이,발라드,오늘 서울은 하루종일 맑음 (Vocal 윤하),48905,stress,2007-11-29,0.15190064468832876,2007,0.47089524213040085,0.6227958868187295
19070,폴킴,R&B/Soul,비,284589,stress,2016-06-21,0.4022078958149162,2016,0.999697901115307,1.4019057969302233
19071,10CM,"인디음악, 포크/블루스",HELP,53558,stress,2017-08-28,0.4916233640225102,2017,0.09701639884720796,0.5886397628697182
19072,예빛,"인디음악, 포크/블루스",집에 가자,3752,stress,2021-02-04,0.866922529593135,2021,0.012291242162367572,0.8792137717555025
19073,구름,"R&B/Soul, 인디음악",지금껏 그랬듯 앞으로도 계속,38148,stress,2016-11-28,0.4320058647232584,2016,0.13400544480547993,0.5660113095287383
19074,박효신,발라드,숨,217470,stress,2016-10-03,0.41738717954246535,2016,0.7639237727232809,1.1813109522657463
19075,그래쓰 (GRASS),"R&B/Soul, 인디음악",babyblue,13122,stress,2020-05-18,0.7754802820241921,2020,0.030761080036945176,0.8062413620611373
19076,이적,발라드,비포 선라이즈 (Duet With 정인),38858,stress,2013-11-15,0.2793721296276332,2013,0.1494073000334511,0.4287794296610843
19077,우주히피,"인디음악, 포크/블루스",생일 축하 노래,599,stress,2021-02-02,0.8664912999417841,2021,0.0019622745349835223,0.8684535744767676
19078,정준일,"인디음악, 록/메탈",안아줘,221942,stress,2011-11-23,0.22686991957567004,2011,0.9994236051695412,1.2262935247452114
